site,Agelas clathrodes,Agelas dispar,Agelas tubulata,Agelas wiedenmayeri,Aiolocroia crassa,Amphimedon copressa,Aplysina archeri,Aplysina cauliformis,Aplysina fistularis,Aplysina fulva,Aplysina insularis,Aplysina lacunosa,Callyspongia plicifera,Callyspongia vaginalis,Callispongia fallax,Callispongia armigera,Cliona delitrix,Cliona varians,Cribochalina vascolum,Dragmacidon sp.,Dysidea variabilis,Ectyoplasia ferox,Geodia neptuni,Hymeniacidon caerulea,Iotrochota birotulata,Igernella notabilis,Ircinia felix,Ircinia strobilina,Monanchora arbuscula,Mycale laxissima,Mycale laevis,Nipahtes amorpha,Niphates erecta,Niphathes digitalis,Phorbas amaranthus,Scopalina rutzleri,Svenezea flava,Spirastrella coccinea,Verongula reswigui,Verongula rigida,Xestospongia muta
DES3,0,0,2,0,2,0,0,0,0,3,0,0,0,0,0,0,2,2,0,0,0,0,5,0,0,0,0,0,2,0,2,1,0,2,0,3,0,0,0,0,0
DES4,1,1,2,3,0,8,0,2,0,0,0,4,0,3,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2,0,0,0,6,0,0,8,1,0,1,0,0
DES4,1,0,0,1,2,12,0,2,1,1,0,0,0,2,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,1,7,0,0,0,5,1
DES4,1,0,0,0,2,9,0,6,0,7,0,0,0,3,0,3,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,6,1,1,6,0,1,0,3,0
DES4,1,0,0,2,3,8,0,12,0,0,0,0,0,8,0,2,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,3,1,2,3,0,1,1,0,0
Muertos,0,0,0,0,0,7,0,12,0,35,0,0,0,0,0,0,0,0,1,9,0,0,0,0,0,0,0,0,11,0,0,3,0,0,0,13,0,0,0,15,0
Muertos,0,0,0,0,0,0,0,6,0,13,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,9,0,0,0,4,0
Muertos,0,0,0,0,3,2,0,4,1,8,0,0,0,1,0,1,3,5,1,0,0,1,0,0,2,0,0,0,3,0,0,1,3,6,2,15,0,0,0,3,0
Muertos,0,0,0,0,1,3,0,2,3,4,0,1,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,5,0,0,0,0,1,1,12,0,0,0,6,0
Muertos,0,0,0,0,2,2,0,2,2,1,0,2,0,2,0,1,1,2,0,0,0,0,0,0,1,0,0,0,3,0,0,0,0,0,4,7,0,0,0,0,0
AIA,0,0,0,0,2,0,0,0,3,2,0,1,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,1,7,0,0,1,0,0,2,6,0,0,0,4,0
AIA,0,0,0,0,0,0,0,2,1,2,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,3,7,0,0,2,0,0,0,9,0,0,1,1,0
AIA,0,0,0,0,2,0,0,2,1,1,0,1,0,0,0,0,2,1,0,0,0,0,0,0,0,0,0,4,12,0,0,0,0,0,1,4,0,0,2,1,0
AIA,0,0,0,0,2,0,0,1,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,1,0
